Title,Year,Duration,MPA,Rating,Votes,méta_score,description,Movie Link,writers,directors,stars,budget,opening_weekend_Gross,grossWorldWWide,gross_US_Canada,release_date,countries_origin,filming_locations,production_company,awards_content,genres,Languages
1. Bad Boys for Life,2020,2h 4m,R,6.5,190K,59.0,Miami detectives Mike Lowrey and Marcus Burnett must face off against a mother-and-son pair of drug lords who wreak vengeful havoc on their city.,https://www.imdb.com/title/tt1502397/?ref_=sr_i_1,"['Peter Craig', 'Joe Carnahan', 'Chris Bremner']","['Adil El Arbi', 'Bilall Fallah']","['Will Smith', 'Martin Lawrence', 'Vanessa Hudgens', 'Alexander Ludwig', 'Charles Melton', 'Paola Núñez', 'Kate del Castillo', 'Nicky Jam', 'Joe Pantoliano', 'Jacob Scipio']","$90,000,000 (estimated)","$62,504,105","$426,505,244","$206,305,244","January 17, 2020",['United States'],"['Yautepec, Morelos, Mexico']","['Columbia Pictures', '2.0 Entertainment', 'Don Simpson/Jerry Bruckheimer Films']","Awards, 3 wins & 15 nominations total","['Buddy Cop', 'Cop Drama', 'Action', 'Comedy', 'Crime', 'Thriller']","['English', 'Spanish']"
2. A Quiet Place Part II,2020,1h 37m,PG-13,7.2,302K,71.0,"Following the events at home, the Abbott family now face the terrors of the outside world. Forced to venture into the unknown, they realize the creatures that hunt by sound are not the only threats lurking beyond the sand path.",https://www.imdb.com/title/tt8332922/?ref_=sr_i_2,"['John Krasinski', 'Bryan Woods', 'Scott Beck']",['John Krasinski'],"['Emily Blunt', 'Millicent Simmonds', 'Cillian Murphy', 'John Krasinski', 'Noah Jupe', 'Djimon Hounsou', 'Okieriete Onaodowan', 'Scoot McNairy', 'Zachary Golinger', 'Blake DeLong']","$61,000,000 (estimated)","$47,547,231","$297,372,261","$160,072,261","May 28, 2021",['United States'],"['Buffalo, New York, USA (Studio)']","['Paramount Pictures', 'Platinum Dunes', 'Sunday Night']","Nominated for 1 BAFTA Award, 14 wins & 44 nominations total","['Alien Invasion', 'Monster Horror', 'Supernatural Horror', 'Drama', 'Horror', 'Sci-Fi', 'Thriller']","['English', 'American Sign Language']"
3. Sonic the Hedgehog,2020,1h 39m,PG,6.5,179K,47.0,"Taking refuge on Earth, when Sonic uses his incredible speed and accidentally knock out the power in part of the United States, he catches the attention of Dr. Robotnik and must stop him from using his unique power for world domination.",https://www.imdb.com/title/tt3794354/?ref_=sr_i_3,"['Pat Casey', 'Josh Miller', 'Yuji Naka']",['Jeff Fowler'],"['Ben Schwartz', 'James Marsden', 'Jim Carrey', 'Tika Sumpter', 'Natasha Rothwell', 'Adam Pally', 'Lee Majdoub', 'Neal McDonough', 'Tom Butler', 'Frank C. Turner']","$85,000,000 (estimated)","$58,018,348","$319,715,683","$148,974,665","February 14, 2020","['United States', 'Japan', 'Canada', 'United Kingdom']","['Ladysmith, British Columbia, Canada']","['Paramount Pictures', 'Sega Sammy Group', 'Original Film']","Awards, 3 wins & 12 nominations total","['Animal Adventure', 'Buddy Comedy', 'Road Trip', 'Slapstick', 'Superhero', 'Supernatural Fantasy', 'Action', 'Adventure', 'Comedy', 'Family']","['English', 'French', 'Persian']"
4. Birds of Prey and the Fantabulous Emancipation of One Harley Quinn,2020,1h 49m,R,6.1,273K,60.0,"After splitting with the Joker, Harley Quinn joins superheroines Black Canary, Huntress, and Renee Montoya to save a young girl from an evil crime lord.",https://www.imdb.com/title/tt7713068/?ref_=sr_i_4,"['Christina Hodson', 'Paul Dini', 'Bruce Timm']",['Cathy Yan'],"['Margot Robbie', 'Rosie Perez', 'Mary Elizabeth Winstead', 'Jurnee Smollett', 'Ewan McGregor', 'Ella Jay Basco', 'Chris Messina', 'Ali Wong', 'David Ury', 'Sara Montez']","$84,500,000 (estimated)","$33,010,017","$205,537,933","$84,172,791","February 7, 2020","['United States', 'United Kingdom']","['Los Angeles, California, USA']","['Clubhouse Pictures (II)', 'DC Entertainment', 'Kroll & Co. Entertainment']","Awards, 18 wins & 83 nominations total","['Dark Comedy', 'Superhero', 'Action', 'Comedy', 'Crime']","['English', 'Chinese']"
5. Dolittle,2020,1h 41m,PG,5.6,74K,26.0,A physician who can talk to animals embarks on an adventure to find a legendary island with a young apprentice and a crew of strange pets.,https://www.imdb.com/title/tt6673612/?ref_=sr_i_5,"['Stephen Gaghan', 'Dan Gregor', 'Doug Mand']",['Stephen Gaghan'],"['Robert Downey Jr.', 'Antonio Banderas', 'Michael Sheen', 'Jim Broadbent', 'Jessie Buckley', 'Harry Collett', 'Emma Thompson', 'Rami Malek', 'John Cena', 'Kumail Nanjiani']","$175,000,000 (estimated)","$21,844,045","$251,410,631","$77,047,065","January 17, 2020","['United States', 'China', 'United Kingdom', 'Japan']","['Menai Suspension Bridge, Anglesey, Wales, UK (on location)']","['Universal Pictures', 'Perfect World Pictures', 'Roth/Kirschenbaum Films']","Awards, 4 wins & 9 nominations total","['Animal Adventure', 'Quest', 'Adventure', 'Comedy', 'Family', 'Fantasy']","['English', 'French']"
6. The Invisible Man,2020,2h 4m,R,7.1,270K,72.0,"When Cecilia's abusive ex takes his own life and leaves her his fortune, she suspects his death was a hoax. As a series of coincidences turn lethal, Cecilia works to prove that she is being hunted by someone nobody can see.",https://www.imdb.com/title/tt1051906/?ref_=sr_i_6,"['Leigh Whannell', 'H.G. Wells']",['Leigh Whannell'],"['Elisabeth Moss', 'Oliver Jackson-Cohen', 'Harriet Dyer', 'Aldis Hodge', 'Storm Reid', 'Michael Dorman', 'Benedict Hardie', 'Renee Lim', 'Brian Meegan', 'Nick Kici']","$7,000,000 (estimated)","$28,205,665","$144,492,724","$70,410,000","February 28, 2020","['Australia', 'United States']","['Headland House, Gerringong, New South Wales, Australia']","['Universal Pictures', 'Blumhouse Productions', 'Goalpost Pictures']","Awards, 43 wins & 85 nominations total","['Psychological Horror', 'Psychological Thriller', 'Suspense Mystery', 'Whodunnit', 'Drama', 'Horror', 'Mystery', 'Sci-Fi', 'Thriller']",['English']
7. The Call of the Wild,2020,1h 40m,PG,6.7,61K,48.0,A sled dog struggles for survival in the wilds of the Yukon.,https://www.imdb.com/title/tt7504726/?ref_=sr_i_7,"['Michael Green', 'Jack London']",['Chris Sanders'],"['Harrison Ford', 'Omar Sy', 'Cara Gee', 'Dan Stevens', 'Bradley Whitford', 'Jean Louisa Kelly', 'Michael Horse', 'Karen Gillan', 'Colin Woodell', 'Micah Fitzgerald']","$135,000,000 (estimated)","$24,791,624","$111,166,669","$62,342,368","February 21, 2020","['United States', 'Canada']","['Yukon, Canada (Klondike Gold Rush)']","['20th Century Studios', 'TSG Entertainment', '3 Arts Entertainment']","Awards, 1 win & 8 nominations total","['Adventure Epic', 'Animal Adventure', 'Mountain Adventure', 'Quest', 'Survival', 'Adventure', 'Drama', 'Family']","['English', 'French']"
8. Onward,2020,1h 42m,PG,7.4,178K,61.0,"Teenage elf brothers Ian and Barley embark on a magical quest to spend one more day with their late father. Like any good adventure, their journey is filled with cryptic maps, impossible obstacles and unimaginable discoveries.",https://www.imdb.com/title/tt7146812/?ref_=sr_i_8,"['Dan Scanlon', 'Keith Bunin', 'Jason Headley']",['Dan Scanlon'],"['Tom Holland', 'Chris Pratt', 'Julia Louis-Dreyfus', 'Octavia Spencer', 'Mel Rodriguez', 'Kyle Bornheimer', 'Lena Waithe', 'Ali Wong', 'Grey Griffin', 'Tracey Ullman']","$175,000,000 (estimated)","$39,119,861","$141,940,042","$61,555,145","January 7, 2020","['United States', 'Japan']","['Los Angeles, California, USA (location)']","['Walt Disney Pictures', 'Pixar Animation Studios']","Nominated for 1 Oscar, 4 wins & 66 nominations total","['Adventure Epic', 'Computer Animation', 'Epic', 'Fantasy Epic', 'Quest', 'Supernatural Fantasy', 'Sword & Sorcery', 'Adventure', 'Animation', 'Comedy']",['English']
9. The Croods: A New Age,2020,1h 35m,PG,6.9,57K,56.0,"The prehistoric family the Croods are challenged by a rival family the Bettermans, who claim to be better and more evolved.",https://www.imdb.com/title/tt2850386/?ref_=sr_i_9,"['Kevin Hageman', 'Dan Hageman', 'Paul Fisher']",['Joel Crawford'],"['Nicolas Cage', 'Emma Stone', 'Ryan Reynolds', 'Catherine Keener', 'Cloris Leachman', 'Clark Duke', 'Leslie Mann', 'Peter Dinklage', 'Kelly Marie Tran', 'Kailey Crawford']","$65,000,000 (estimated)","$9,724,200","$215,905,815","$58,568,815","November 25, 2020","['United States', 'Japan']",,"['DreamWorks Animation', 'Dentsu']","Awards, 31 nominations total","['Computer Animation', 'Adventure', 'Animation', 'Comedy', 'Family', 'Fantasy']",['English']
10. Tenet,2020,2h 30m,PG-13,7.3,626K,69.0,"Armed with only the word ""Tenet,"" and fighting for the survival of the entire world, CIA operative, The Protagonist, journeys through a twilight world of international espionage on a global mission that unfolds beyond real time.",https://www.imdb.com/title/tt6723592/?ref_=sr_i_10,['Christopher Nolan'],['Christopher Nolan'],"['John David Washington', 'Robert Pattinson', 'Elizabeth Debicki', 'Juhan Ulfsak', 'Jefferson Hall', 'Ivo Uukkivi', 'Andrew Howard', 'Rich Ceraulo Ko', 'Jonathan Camp', 'Wes Chatham']","$205,000,000 (estimated)","$9,353,090","$365,304,105","$58,504,105","September 3, 2020","['United States', 'United Kingdom']","['Linnahall, Tallinn, Estonia (national opera house Kyiv)']","['Warner Bros.', 'Syncopy', 'Warner Bros.']","Won 1 Oscar, 49 wins & 139 nominations total","['Time Travel', 'Action', 'Sci-Fi', 'Thriller']",['English']
11. Demon Slayer: Kimetsu no Yaiba - The Movie: Mugen Train,2020,1h 57m,TV-MA,8.2,83K,72.0,"After his family was brutally murdered and his sister turned into a demon, Tanjiro Kamado's journey as a demon slayer began. Tanjiro and his comrades embark on a new mission aboard the Mugen Train, on track to despair.",https://www.imdb.com/title/tt11032374/?ref_=sr_i_11,['Koyoharu Gotouge'],['Haruo Sotozaki'],"['Natsuki Hanae', 'Akari Kitô', 'Yoshitsugu Matsuoka', 'Hiro Shimono', 'Satoshi Hino', 'Takahiro Sakurai', 'Katsuyuki Konishi', 'Saori Hayami', ""Ken'ichi Suzumura"", 'Tomokazu Seki']","$15,000,000 (estimated)","$21,234,994","$473,230,408","$49,505,008","April 23, 2021",['Japan'],"['Tokyo, Japan (Studio)']","['Shueisha', 'Aniplex', 'Ufotable']","Awards, 6 wins & 6 nominations total","['Adult Animation', 'Anime', 'Dark Fantasy', 'Shōnen', 'Superhero', 'Supernatural Fantasy', 'Sword & Sorcery', 'Action', 'Adventure', 'Animation']",['Japanese']
12. Wonder Woman 1984,2020,2h 31m,PG-13,5.4,300K,60.0,"Wonder Woman finds herself battling two opponents, Maxwell Lord, a shrewd entrepreneur, and Barbara Minerva, a friend-turned-foe. Meanwhile, she also ends up crossing paths with her love interest.",https://www.imdb.com/title/tt7126948/?ref_=sr_i_12,"['Patty Jenkins', 'Geoff Johns', 'Dave Callaham']",['Patty Jenkins'],"['Gal Gadot', 'Chris Pine', 'Kristen Wiig', 'Pedro Pascal', 'Robin Wright', 'Connie Nielsen', 'Lilly Aspell', 'Amr Waked', 'Kristoffer Polaha', 'Natasha Rothwell']","$200,000,000 (estimated)","$16,701,957","$169,601,036","$46,801,036","December 25, 2020",['United States'],"['Landmark Mall - 5801 Duke Street, Alexandria, Virginia, USA']","['Atlas Entertainment', 'DC Entertainment', 'The Stone Quarry']","Awards, 27 wins & 48 nominations total","['Superhero', 'Action', 'Adventure', 'Fantasy', 'Holiday']","['English', 'Arabic', 'Russian', 'Mandarin']"
13. Fantasy Island,2020,1h 49m,PG-13,4.9,61K,22.0,"When the owner and operator of a luxurious island invites a collection of guests to live out their most elaborate fantasies in relative seclusion, chaos quickly descends.",https://www.imdb.com/title/tt0983946/?ref_=sr_i_13,"['Jeff Wadlow', 'Chris Roach', 'Jillian Jacobs']",['Jeff Wadlow'],"['Michael Peña', 'Maggie Q', 'Lucy Hale', 'Austin Stowell', 'Jimmy O. Yang', 'Portia Doubleday', 'Ryan Hansen', 'Michael Rooker', 'Parisa Fitz-Henley', 'Mike Vogel']","$7,000,000 (estimated)","$12,310,420","$49,447,308","$27,309,289","February 14, 2020",['United States'],"['Taveuni, Fiji']","['Columbia Pictures', 'Blumhouse Productions', 'Tower of Babble Entertainment']","Awards, 5 nominations total","['Supernatural Horror', 'Suspense Mystery', 'Fantasy', 'Horror', 'Mystery']",['English']
14. The New Mutants,2020,1h 34m,PG-13,5.3,96K,43.0,"Five young mutants, just discovering their abilities while held in a secret facility against their will, fight to escape their past sins and save themselves.",https://www.imdb.com/title/tt4682266/?ref_=sr_i_14,"['Josh Boone', 'Knate Lee']",['Josh Boone'],"['Maisie Williams', 'Anya Taylor-Joy', 'Charlie Heaton', 'Alice Braga', 'Blu Hunt', 'Henrique Zaga', 'Adam Beach', 'Thomas Kee', 'Colbi Gannett', 'Happy Anderson']","$67,000,000 (estimated)","$7,037,017","$49,169,594","$23,852,659","August 28, 2020",['United States'],"['Medfield State Hospital - 45 Hospital Road, Medfield, Massachusetts, USA']","['20th Century Studios', 'Marvel Entertainment', 'Kinberg Genre']","Awards, 4 nominations total","['Psychological Horror', 'Superhero', 'Teen Horror', 'Action', 'Horror', 'Mystery', 'Sci-Fi']","['English', 'Portuguese', 'Latin']"
15. Like a Boss,2020,1h 23m,R,4.7,16K,33.0,Two friends with very different ideals start a beauty company together. One is more practical while the other wants to earn her fortune and live a lavish lifestyle.,https://www.imdb.com/title/tt7545266/?ref_=sr_i_15,"['Sam Pitman', 'Adam Cole-Kelly', 'Danielle Sanchez-Witzel']",['Miguel Arteta'],"['Tiffany Haddish', 'Rose Byrne', 'Salma Hayek', 'Karan Soni', 'Jacob Latimore', 'Billy Porter', 'Jimmy O. Yang', 'Ryan Hansen', 'Jennifer Coolidge', 'Jessica St. Clair']","$29,000,000 (estimated)","$10,011,272","$30,399,490","$22,169,514","January 10, 2020",['United States'],"['Atlanta, Georgia, USA']","['Artists First', 'Paramount Pictures']","Awards, 1 win & 5 nominations total",['Comedy'],"['English', 'Spanish', 'French', 'Russian']"
16. The War with Grandpa,2020,1h 34m,PG,5.7,26K,34.0,"Upset that he has to share the room he loves with his grandfather, Peter decides to declare war in an attempt to get it back.",https://www.imdb.com/title/tt4532038/?ref_=sr_i_16,"['Tom J. Astle', 'Matt Ember', 'Robert Kimmel Smith']",['Tim Hill'],"['Robert De Niro', 'Uma Thurman', 'Rob Riggle', 'Oakes Fegley', 'Laura Marano', 'Cheech Marin', 'Jane Seymour', 'Christopher Walken', 'Juliocesar Chavez', 'Isaac Kragten']",,"$3,623,880","$43,387,638","$21,277,892","October 9, 2020","['United States', 'United Kingdom', 'Canada']","['Atlanta, Georgia, USA']","['Marro Films', 'Emmett/Furla Oasis Films', 'Reliance Film & Entertainment']","Awards, 1 win total","['Comedy', 'Drama', 'Family']",['English']
17. Unhinged,2020,1h 30m,R,6.0,83K,40.0,"After a confrontation with an unstable man at an intersection, a woman becomes the target of his rage.",https://www.imdb.com/title/tt10059518/?ref_=sr_i_17,['Carl Ellsworth'],['Derrick Borte'],"['Russell Crowe', 'Caren Pistorius', 'Gabriel Bateman', 'Jimmi Simpson', 'Austin P. McKenzie', 'Juliene Joyner', 'Stephen Louis Grush', 'Anne Leighton', 'Devyn A. Tyler', 'Sylvia Grace Crim']","$33,000,000 (estimated)","$601,032","$44,331,465","$20,831,465","August 21, 2020","['United Kingdom', 'United States']","['New Orleans, Louisiana, USA (street scenes)']","['Burek Films', 'Ingenious', 'Solstice Studios']","Awards, 1 nomination total","['Car Action', 'Psychological Thriller', 'Action', 'Thriller']",['English']
18. The Photograph,2020,1h 46m,PG-13,6.1,6.4K,62.0,A series of intertwining love stories set in the past and in the present.,https://www.imdb.com/title/tt7798646/?ref_=sr_i_18,['Stella Meghie'],['Stella Meghie'],"['Issa Rae', 'LaKeith Stanfield', 'Chanté Adams', ""Y'lan Noel"", 'Kelvin Harrison Jr.', 'Lil Rel Howery', 'Teyonah Parris', 'Jasmine Cephas Jones', 'Rylee Gabrielle King', 'Phoenix Noelle']","$16,000,000 (estimated)","$12,181,865","$20,690,779","$20,578,185","February 14, 2020","['United States', 'China']","['Queens Museum, Queens, New York, USA (A Filming location in trailer)']","['Perfect World Pictures', 'Will Packer Productions']","Awards, 1 win & 3 nominations total","['Drama', 'Romance']",['English']
19. Underwater,2020,1h 35m,PG-13,5.9,103K,48.0,A crew of oceanic researchers working for a deep sea drilling company try to get to safety after a mysterious earthquake devastates their deepwater research and drilling facility located at the bottom of the Mariana Trench.,https://www.imdb.com/title/tt5774060/?ref_=sr_i_19,"['Brian Duffield', 'Adam Cozad']",['William Eubank'],"['Kristen Stewart', 'Vincent Cassel', 'Mamoudou Athie', 'T.J. Miller', 'John Gallagher Jr.', 'Jessica Henwick', 'Gunner Wright', 'Fiona Rene', 'Amanda Troop']","$80,000,000 (estimated)","$7,008,297","$40,882,928","$17,291,078","January 10, 2020",['United States'],"['Louisiana, USA (Studio)']","['Chernin Entertainment', 'TSG Entertainment', 'Twentieth Century Fox']","Awards, 1 win & 5 nominations total","['Disaster', 'Psychological Thriller', 'Sea Adventure', 'Action', 'Horror', 'Sci-Fi', 'Thriller']",['English']
20. The Turning,2020,1h 34m,PG-13,3.9,17K,35.0,"A young governess is hired to look after an orphaned girl, but the return of the girl's problematic brother uncovers secrets from their past. A modern take on Henry James' novella ""The Turn of the Screw.""",https://www.imdb.com/title/tt7510346/?ref_=sr_i_20,"['Henry James', 'Chad Hayes', 'Carey W. Hayes']",['Floria Sigismondi'],"['Mackenzie Davis', 'Finn Wolfhard', 'Brooklynn Prince', 'Barbara Marten', 'Joely Richardson', 'Niall Greig Fulton', 'Denna Thomsen', 'Kim Adis', 'Darlene Garr', 'Karen Egan']","$14,000,000 (estimated)","$6,950,045","$19,428,166","$15,472,775","January 24, 2020","['United States', 'India']","['Killruddery House, County Wicklow, Ireland (estate)']","['Dreamworks Pictures', 'Reliance Entertainment', 'Chislehurst Entertainment Productions']","Awards, 1 nomination total","['Drama', 'Horror', 'Mystery']",['English']
21. Gretel & Hansel,2020,1h 27m,PG-13,5.5,37K,64.0,"In a distant land, two siblings, Hansel and Gretel, wander through the woods in search of food and work. When a mysterious lady offers them a way out, they accept without thinking about the consequences.",https://www.imdb.com/title/tt9086228/?ref_=sr_i_21,"['Rob Hayes', 'Jacob Grimm', 'Wilhelm Grimm']",['Osgood Perkins'],"['Sophia Lillis', 'Samuel Leakey', 'Alice Krige', 'Jessica De Gouw', ""Fiona O'Shaughnessy"", 'Donncha Crowley', 'Jonathan Gunning', 'Charles Babalola', 'Giulia Doherty', 'Jonathan Delaney Tynan']","$5,000,000 (estimated)","$6,154,007","$22,304,357","$15,347,654","January 31, 2020","['Ireland', 'Canada', 'United States']","['Dublin, Ireland']","['Orion Pictures', 'BRON Studios', 'Automatik Entertainment']","Awards, 4 wins & 16 nominations total","['Dark Fantasy', 'Fairy Tale', 'Folk Horror', 'Witch Horror', 'Fantasy', 'Horror', 'Mystery', 'Thriller']",['English']
22. Monster Hunter,2020,1h 43m,PG-13,5.2,71K,47.0,"When Cpt. Artemis and her loyal soldiers are transported to a new world, they engage in a desperate battle for survival against enormous enemies with incredible powers. Feature film based on the video game by Capcom.",https://www.imdb.com/title/tt6475714/?ref_=sr_i_22,"['Paul W.S. Anderson', 'Kaname Fujioka']",['Paul W.S. Anderson'],"['Milla Jovovich', 'Tony Jaa', 'Ron Perlman', ""Tip 'T.I.' Harris"", 'Diego Boneta', 'Meagan Good', 'Josh Helman', 'Jin Au-Yeung', 'Hirona Yamazaki', 'Jannik Schümann']","$60,000,000 (estimated)","$2,201,269","$42,145,959","$15,162,470","December 18, 2020","['Germany', 'United States', 'Japan', 'China', 'South Africa', 'Canada']","['Western Cape, South Africa']","['Constantin Film', 'Impact Pictures', 'Capcom Company']","Awards, 2 nominations total","['Dark Fantasy', 'Action', 'Adventure', 'Fantasy']","['English', 'Spanish']"
23. Honest Thief,2020,1h 39m,PG-13,6.0,60K,46.0,"Wanting to lead an honest life, a notorious bank robber turns himself in, only to be double-crossed by two ruthless FBI agents.",https://www.imdb.com/title/tt1838556/?ref_=sr_i_23,"['Steve Allrich', 'Mark Williams', 'Louis Per Bruno']",['Mark Williams'],"['Liam Neeson', 'Kate Walsh', 'Jai Courtney', 'Jeffrey Donovan', 'Anthony Ramos', 'Robert Patrick', 'Tazzie', 'Jasmine Cephas Jones', 'Devon Diep', 'Herlín Areniello']","$30,000,000 (estimated)",,"$31,220,247","$14,163,574","October 16, 2020",['United States'],"['UMass Memorial Medical Center, University Campus - 55 Lake Ave N, Worcester, Massachusetts, USA']","['Solution Entertainment Group', 'Ingenious Media', 'Zero Gravity Management']","Awards, 1 nomination total","['Dark Comedy', 'One-Person Army Action', 'Action', 'Crime', 'Drama', 'Thriller']","['English', 'Spanish', 'German']"
24. The Way Back,2020,1h 48m,R,6.7,55K,66.0,"Jack Cunningham was a high school basketball phenom who walked away from the game, forfeiting his future. Years later, when he reluctantly accepts a coaching job at his alma mater, he may get one last shot at redemption.",https://www.imdb.com/title/tt8544498/?ref_=sr_i_24,['Brad Ingelsby'],"[""Gavin O'Connor""]","['Ben Affleck', 'Al Madrigal', 'Janina Gavankar', 'Michaela Watkins', 'Brandon Wilson', 'Will Ropp', 'Fernando Luis Vega', 'Charles Lott Jr.', 'Melvin Gregg', 'Ben Irving']",,"$8,170,315","$15,490,514","$13,590,514","March 6, 2020","['United States', 'Canada']","['Chaffey High School, Ontario, California, USA (location)']","['Warner Bros.', 'BRON Studios', 'Jennifer Todd Pictures']","Awards, 6 nominations total","['Basketball', 'Drama', 'Sport']",['English']
25. News of the World,2020,1h 58m,PG-13,6.8,98K,73.0,A Civil War veteran agrees to deliver a girl taken by the Kiowa people years ago to her aunt and uncle against her will. They travel hundreds of miles and face grave dangers as they search for a place that either can call home.,https://www.imdb.com/title/tt6878306/?ref_=sr_i_25,"['Paul Greengrass', 'Luke Davies', 'Paulette Jiles']",['Paul Greengrass'],"['Tom Hanks', 'Helena Zengel', 'Tom Astor', 'Travis Johnson', 'Andy Kastelic', 'Ray McKinnon', 'Mare Winningham', 'Jeffrey Ware', 'Chris Bylsma', 'Justin Tade']","$38,000,000 (estimated)","$2,250,430","$12,668,325","$12,668,325","December 25, 2020","['United States', 'China']","['Santa Fe, New Mexico, USA']","['Perfect World Pictures', 'Playtone', 'Pretty Pictures']","Nominated for 4 Oscars, 5 wins & 81 nominations total","['Quest', 'Action', 'Adventure', 'Drama', 'Western']","['English', 'North American Indian', 'German']"
26. Brahms: The Boy II,2020,1h 26m,PG-13,4.7,22K,29.0,"After a family moves into the Heelshire Mansion, their young son soon makes friends with a life-like doll called Brahms.",https://www.imdb.com/title/tt9173418/?ref_=sr_i_26,['Stacey Menear'],['William Brent Bell'],"['Katie Holmes', 'Christopher Convery', 'Owain Yeoman', 'Ralph Ineson', 'Daphne Hoskins', 'Keoni Rebeiro', 'Joely Collins', 'Oliver Rice', 'Anjali Jay', 'Natalie Moon']","$10,000,000 (estimated)","$5,823,006","$20,311,536","$12,611,536","February 21, 2020","['United States', 'China', 'Canada', 'Australia']","['Victoria, British Columbia, Canada (location)']","['STX Films', 'Lakeshore Entertainment', 'Huayi Brothers Media']","Awards, 1 win & 2 nominations total","['Drama', 'Horror', 'Mystery', 'Thriller']",['English']
27. Bloodshot,2020,1h 49m,PG-13,5.7,88K,44.0,"Ray Garrison, a slain soldier, is re-animated with superpowers.",https://www.imdb.com/title/tt1634106/?ref_=sr_i_27,"['Jeff Wadlow', 'Eric Heisserer', 'Kevin VanHook']",['Dave Wilson'],"['Vin Diesel', 'Eiza González', 'Sam Heughan', 'Toby Kebbell', 'Talulah Riley', 'Lamorne Morris', 'Guy Pearce', 'Jóhannes Haukur Jóhannesson', 'Alex Hernandez', 'Siddharth Dhananjay']","$45,000,000 (estimated)","$9,176,695","$39,861,118","$12,561,824","March 13, 2020","['United States', 'Canada', 'South Africa', 'China']","['Montreal, Québec, Canada']","['Columbia Pictures', 'Bona Film Group', 'Annabell Pictures']","Awards, 1 win & 7 nominations total","['Superhero', 'Action', 'Adventure', 'Sci-Fi']","['English', 'Persian']"
28. Impractical Jokers: The Movie,2020,1h 32m,PG-13,5.7,7.5K,39.0,The story of a humiliating high school mishap from 1992 that sends the Impractical Jokers on the road competing in hidden-camera challenges for the chance to turn back the clock and redeem three of the four Jokers.,https://www.imdb.com/title/tt9208444/?ref_=sr_i_28,"['Chris Henchy', 'Joe Gatto', 'James Murray']",['Chris Henchy'],"['Paula Abdul', 'Joe Gatto', 'James Murray', 'Brian Quinn', 'Sal Vulcano', 'Jaden Smith', 'Joey Fatone', 'Sal Vulcano Sr.', 'Evan Castelloe', 'Sierra Pond']","$3,000,000 (estimated)","$2,607,049","$10,691,091","$10,691,091","February 28, 2020",['United States'],,"['Funny or Die', 'truTV']",,['Comedy'],['English']
29. Come Play,2020,1h 36m,PG-13,5.8,19K,58.0,A monster named Larry manifests itself through smart phones and mobile devices. Feature film version of the 2017 short film.,https://www.imdb.com/title/tt8004664/?ref_=sr_i_29,['Jacob Chase'],['Jacob Chase'],"['Azhy Robertson', 'Gillian Jacobs', 'John Gallagher Jr.', 'Winslow Fegley', 'Jayden Marine', 'Gavin MacIver-Wright', 'Dalmar Abuzeid', 'Eboni Booth', 'Rachel Wilson', 'Alana-Ashley Marques']",,"$3,119,875","$13,182,254","$10,475,990","October 30, 2020","['United States', 'India']",,"['Amblin Partners', 'Reliance Entertainment', 'The Picture Company']","Awards, 1 nomination total","['Drama', 'Horror', 'Mystery', 'Thriller']",['English']
30. Emma.,2020,2h 4m,PG,6.7,67K,71.0,"In 1800s England, a well-meaning but selfish young woman meddles in her friends' love lives.",https://www.imdb.com/title/tt9214832/?ref_=sr_i_30,"['Eleanor Catton', 'Jane Austen']",['Autumn de Wilde'],"['Anya Taylor-Joy', 'Johnny Flynn', 'Mia Goth', ""Josh O'Connor"", 'Callum Turner', 'Miranda Hart', 'Bill Nighy', 'Rupert Graves', 'Gemma Whelan', 'Amber Anderson']","$10,000,000 (estimated)","$234,482","$25,932,444","$10,055,355","March 6, 2020","['United Kingdom', 'China', 'United States']","['Lower Slaughter, Cheltenham, England, UK (Hartfield village)']","['Working Title Films', 'Blueprint Pictures', 'Focus Features']","Nominated for 2 Oscars, 11 wins & 61 nominations total","['Coming-of-Age', 'Costume Drama', 'Feel-Good Romance', 'Period Drama', 'Romantic Comedy', 'Comedy', 'Drama', 'Romance']",['English']
31. I Still Believe,2020,1h 56m,PG,6.5,14K,41.0,The true-life story of Christian music star Jeremy Camp and his journey of love and loss that proves that there is always hope.,https://www.imdb.com/title/tt9779516/?ref_=sr_i_31,"['Jeremy Camp', 'Jon Erwin', 'Jon Gunn']","['Andrew Erwin', 'Jon Erwin']","['KJ Apa', 'Britt Robertson', 'Nathan Parsons', 'Gary Sinise', 'Shania Twain', 'Reuben Dodd', 'Nicolas Bechtel', 'Melissa Roxburgh', 'Terry Serpico', 'Tanya Christiansen']","$12,000,000 (estimated)","$9,103,614","$16,069,730","$9,868,521","March 13, 2020",['United States'],"['Gulf Shores, Alabama, USA']","['Kevin Downes Productions', 'Kingdom Story Company']","Awards, 1 win & 2 nominations total","['Biography', 'Drama', 'Music', 'Romance']",['English']
