Title,Year,Duration,MPA,Rating,Votes,méta_score,description,Movie Link,writers,directors,stars,budget,opening_weekend_Gross,grossWorldWWide,gross_US_Canada,release_date,countries_origin,filming_locations,production_company,awards_content,genres,Languages
344. The Doorman,2020,1h 37m,R,4.7,8.7K,41.0,"A woman returns from combat and befriends a family in NYC. A gang of thieves plot to take the family's valuables, and she is all that stands between them and their lives.",https://www.imdb.com/title/tt6222118/?ref_=sr_i_344,"['Lior Chefetz', 'Joe Swanson', 'Devon Rose']",['Ryûhei Kitamura'],"['Ruby Rose', 'Jean Reno', 'Aksel Hennie', 'Rupert Evans', 'Julian Feder', 'Kíla Lord Cassidy', 'Louis Mandylor', 'Dan Southworth', 'Hideaki Itô', 'David Sakurai']",,,"$307,873",,"October 9, 2020","['United States', 'Canada', 'Romania', 'United Kingdom']","['Bucharest, Romania']","['Double Dutch International', 'Smash Media', 'CR8IV DNA']","Awards, 1 nomination total","['Action', 'Drama', 'Thriller']","['English', 'French']"
345. The Half of It,2020,1h 44m,PG-13,6.9,45K,74.0,"When smart but cash-strapped teen Ellie Chu agrees to write a love letter for a jock, she doesn't expect to become his friend - or fall for his crush.",https://www.imdb.com/title/tt9683478/?ref_=sr_i_345,['Alice Wu'],['Alice Wu'],"['Leah Lewis', 'Daniel Diemer', 'Alexxis Lemire', 'Wolfgang Novogratz', 'Collin Chou', 'Becky Ann Baker', 'Enrique Murciano', 'MacIntyre Dixon', 'Catherine Curtin', 'Alec Tincher']",,,,,"May 1, 2020",['United States'],"['Piermont, New York, USA (Last scene, outside restaurant where Aster works)']",['Likely Story'],"Awards, 6 wins & 10 nominations total","['Coming-of-Age', 'Comedy', 'Drama']",['English']
346. Lost Girls,2020,1h 35m,R,6.2,26K,67.0,"After Mari Gilbert's daughter disappears, police inaction drives her own investigation into the gated Long Island community where Shannan was last seen. Her search brings attention to over a dozen murdered sex workers.",https://www.imdb.com/title/tt3111426/?ref_=sr_i_346,"['Michael Werwie', 'Robert Kolker']",['Liz Garbus'],"['Amy Ryan', 'Thomasin McKenzie', 'Gabriel Byrne', 'Lola Kirke', 'Oona Laurence', 'Dean Winters', 'Molly Brown', 'Miriam Shor', 'Ana Reeder', 'Grace Capeless']",,,,,"March 13, 2020",['United States'],"['Canal Street and Center Street, Ellenville, New York, USA (Street scenes)']","['Archer Gray', 'Langley Park Pictures']","Awards, 1 win total","['True Crime', 'Whodunnit', 'Crime', 'Drama', 'Mystery', 'Thriller']",['English']
347. Mortal,2020,1h 44m,R,5.9,11K,20.0,Fantasy adventure origin story about a young man discovering he has god-like powers based on ancient Norse mythology.,https://www.imdb.com/title/tt5715066/?ref_=sr_i_347,"['André Øvredal', 'Norman Lesperance', 'Geoff Bussetil']",['André Øvredal'],"['Priyanka Bose', 'Nat Wolff', 'Ravdeep Singh Bajwa', 'Iben Akerlie', 'Arthur Hakalahti', 'Kai Kolstad Rødseth', 'Per Frisch', 'Sunniva Lind Høverstad', 'Martin Grid Toennesen', 'Oddrun Valestrand']",,,"$126,068",,"November 6, 2020","['Norway', 'United States', 'United Kingdom']",['Norway'],"['42', 'Automatik Entertainment', 'Eldorado Film']","Awards, 3 nominations total","['Dark Fantasy', 'Superhero', 'Action', 'Adventure', 'Drama', 'Fantasy', 'Mystery']","['Norwegian', 'English']"
348. My Spy,2020,1h 39m,PG-13,6.4,39K,46.0,"A hardened CIA operative finds himself at the mercy of a precocious 9-year-old girl, having been sent undercover to surveil her family.",https://www.imdb.com/title/tt8242084/?ref_=sr_i_348,"['Erich Hoeber', 'Jon Hoeber']",['Peter Segal'],"['Dave Bautista', 'Chloe Coleman', 'Parisa Fitz-Henley', 'Kristen Schaal', 'Greg Bryk', 'Ken Jeong', 'Nicola Correia-Damude', 'Devere Rogers', 'Noah Dalton Danby', 'Vieslav Krystyan']",,,"$10,200,000",,"June 26, 2020",['United States'],"['Toronto, Ontario, Canada']","['Good Fear Content', 'Dream Bros. Entertainment', 'Dream Bros. Entertainment']",,"['Buddy Comedy', 'Action', 'Comedy']","['English', 'French', 'Russian']"
349. Clouds,2020,2h 1m,PG-13,7.5,12K,55.0,"Based on real events, a young musician discovers his cancer has spread, leaving him just a few months to live. With limited time, he follows his dream and makes an album, unaware that it will soon be a viral music phenomenon.",https://www.imdb.com/title/tt6473066/?ref_=sr_i_349,"['Kara Holden', 'Casey La Scala', 'Patrick Kopka']",['Justin Baldoni'],"['Fin Argus', 'Neve Campbell', 'Sabrina Carpenter', 'Madison Iseman', 'Tom Everett Scott', 'Lil Rel Howery', 'Summer H. Howell', 'Vivien Endicott-Douglas', 'Dylan Everett', 'Jason Mraz']",,,,,"October 16, 2020",['United States'],"[""Baie D'Urfe, Québec, Canada""]","['Mad Chance', 'Warner Bros.', 'Wayfarer Studios']","Awards, 2 wins & 2 nominations total","['Biography', 'Drama', 'Music']",['English']
350. My First Summer,2020,1h 20m,Not Rated,6.7,3.1K,,"Isolated Claudia hides away on a remote property after her mother's death. Shocked when spirited local teen Grace appears in her garden, the pair find support and love in each other.",https://www.imdb.com/title/tt10229982/?ref_=sr_i_350,['Katie Found'],['Katie Found'],"['Arthur Angel', 'Markella Kavenagh', 'Steve Mouzakis', 'Maiah Stewardson', 'Katherine Tonkin', 'Edwina Wren', 'Harvey Zielinski']",,,,,"March 2, 2021",['Australia'],,['Noise & Light'],"Awards, 3 wins & 2 nominations total","['Drama', 'Romance']",['English']
351. Worth,2020,1h 58m,PG-13,6.8,20K,67.0,"An attorney in Washington D.C. battles against cynicism, bureaucracy and politics to help the victims of 9/11.",https://www.imdb.com/title/tt8009744/?ref_=sr_i_351,['Max Borenstein'],['Sara Colangelo'],"['Michael Keaton', 'Amy Ryan', 'Stanley Tucci', 'Tate Donovan', 'Shunori Ramanathan', 'Talia Balsam', 'Laura Benanti', 'Chris Tardio', 'Ato Blankson-Wood', 'Carolyn Mignini']",,,"$106,645",,"September 3, 2021","['United Kingdom', 'Canada', 'United States']","['Astoria, Oregon, USA']","['Anonymous Content', 'MadRiver Pictures', 'Paradise City Films']",,"['Biography', 'Drama', 'History']",['English']
352. Ghosts of War,2020,1h 34m,R,5.6,13K,38.0,Five American soldiers assigned to hold a French Chateau near the end of World War II. This unexpected respite quickly descends into madness when they encounter a supernatural enemy more terrifying than anything seen on the battlefield.,https://www.imdb.com/title/tt6508228/?ref_=sr_i_352,['Eric Bress'],['Eric Bress'],"['Brenton Thwaites', 'Kyle Gallner', 'Alan Ritchson', 'Theo Rossi', 'Skylar Astin', 'Billy Zane', 'Vivian Gray', 'Shaun Toub', 'Laila Banki', 'Yanitsa Mihailova']",,,"$345,289",,"July 17, 2020",['United Kingdom'],['Bulgaria'],"['Day Tripper Films', 'Miscellaneous Entertainment', 'SunJive Studios']",,"['Supernatural Horror', 'Fantasy', 'Horror', 'Thriller', 'War']",['English']
353. Divine,2020,1h 31m,,5.8,426,,"Tells the story of insecure Gregory Spring, who first has to fly to Vatican City in order to overcome his fears, report on the election of the pope and to fall in love.",https://www.imdb.com/title/tt7749040/?ref_=sr_i_353,['Jan Schomburg'],['Jan Schomburg'],"['Callum Turner', 'Matilda De Angelis', 'Paolo Bonacelli', 'Ronke Adekoluejo', 'Tommaso Ragno', 'Paola Lavini', 'Anna Bonaiuto', 'Kemaal Deen-Ellis', 'Mark Davison', 'Serra Yilmaz']",,,,,"August 13, 2020","['Germany', 'Italy']",,"['Warner Bros. Film Productions Germany', 'X-Filme Creative Pool']",,['Comedy'],['English']
